GOBP_CELL_PROJECTION_ASSEMBLY,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_CELL_PROJECTION_ASSEMBLY,Abi2,Abitram,Abl1,Actr2,Actr3,Agrn,Aif1l,Akt1,Ano6,Arap1,Arf4,Arf6,Arhgap35,Arid1b,Arl3,Arl6,Arpc2,Asap1,Atg3,Atg5,Atp6v1d,Atp7a,Atxn10,B9d1,Bag4,Brk1,Capzb,Carmil1,Ccdc88a,Cdc42,Cdk10,Cep131,Cep135,Cep250,Cep97,Cfap20,Cfap410,Cfl1,Cluap1,Coro1c,Crocc,Csnk1d,Cttn,Cyfip1,Cyfip2,Dbn1,Dctn1,Dnaaf5,Dnm2,Dock11,Dpysl3,Dync2h1,Dync2i2,Dync2li1,Dynll1,Ehd1,Ehd3,Ephb2,Evl,Exoc5,Ezr,Fam98a,Fer,Fgd4,Flna,Fmr1,Fnbp1l,Fscn1,Fxr1,Fxr2,Gap43,Gdi2,Golph3,Gsn,Hsp90aa1,Hspb11,Htt,Ift172,Ift22,Ift27,Ift46,Ift57,Ift88,Inppl1,Iqcb1,Itga6,Itgb1,Kif3a,Kif3b,Lama5,Map4,Mapre1,Mien1,Mns1,Myh10,Nck1,Nck2,Nudcd3,Nup85,Palm,Parva,Parvb,Pcm1,Pcnt,Pfn1,Pfn2,Pik3r1,Pip5k1a,Poc1a,Podxl,Ppp1r9b,Pqbp1,Prdx6,Prkcd,Ptpn23,Pxn,Rab23,Rab3ip,Rab5a,Rab8a,Rac1,Rac3,Rala,Rap2a,Rcc2,Rdx,Rfx2,Rfx3,Rhog,Rilpl1,Rock1,Rpgr,Septin2,Septin6,Septin7,Septin9,Sh3bp1,Shtn1,Snap29,Src,Srgap2,Syne1,Syne2,Tmem231,Tmem237,Tnik,Ttc26,Twf1,Twf2,Unc119b,Vangl2,Vav2,Vcl,Vdac3,Wasf2,Wasf3,Wdr11,Wdr35,Wdr90,Yap1,Yif1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,Agrn,Akt1,Ank3,Atp1a2,Atp7a,Bin1,Camk2d,Commd1,Crbn,Ephb2,Fmr1,Gnao1,Gnaq,Gopc,Grip1,Grk6,Gsto1,Iscu,Map3k7,Nedd4l,Oxsr1,Pacsin3,Park7,Pik3c2a,Ppif,Ppp3ca,Ppp3cb,Ppp3r1,Pten,Sestd1,Snx27,Stk39,Sumo1,Tcaf2,Ubqln1,Vdac1,Wnk1,Wnk3,Ywhae,Ywhaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS,Akt1,Akt2,Arpp19,Ddb1,Epm2aip1,Gpt2,Hmgb1,Insr,Pfkfb1,Ppp4r3a,Ppp4r3b,Prkaca,Ptpn2,Sirt1,Slc25a12,Src,Wdr5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_PROTEIN_MONOUBIQUITINATION,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_PROTEIN_MONOUBIQUITINATION,Cbl,Cul1,Cul3,Huwe1,Itch,Kbtbd8,Klhl22,Mgrn1,Nedd4l,Pcgf6,Pdcd6,Pef1,Pex12,Rad18,Rbx1,Rnf126,Rnf2,Rnf20,Rnf220,Rnf40,Skp1,Trim25,Trim56,Tsg101,Ube2o,Ube2r2,Ube2t,Ube4b,Wdr48,Zc4h2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_PROTEIN_LOCALIZATION_TO_CYTOSKELETON,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_PROTEIN_LOCALIZATION_TO_CYTOSKELETON,Abl1,Cep131,Cep250,Cript,Csnk1d,Dctn2,Diaph1,Hook3,Htt,Kif20b,Map1a,Mapre1,Mapre2,Mapre3,Mid1,Nsfl1c,Nudcd3,Numa1,Nup62,Pcm1,Ppp1r9b,Spag5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_SODIUM_ION_TRANSPORT,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_SODIUM_ION_TRANSPORT,Agrn,Ahcyl1,Akt1,Akt2,Ank3,Ano6,Arf1,Atp1a1,Atp1a2,Atp1b1,Atp1b3,Camk2d,Chp1,Commd1,Commd3,Commd9,Cpox,Dmd,Dnm2,Fxyd6,Gnas,Gpd1l,Grip1,Ikbkb,Kif5b,Nedd4l,Oxsr1,Slc12a2,Slc20a2,Slc4a7,Stk39,Stom,Wnk1,Wnk3,Ywhah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,Agrn,Akt1,Ank3,Atp1a2,Atp7a,Bin1,Camk2d,Commd1,Crbn,Ephb2,Fmr1,Gopc,Grip1,Grk6,Gsto1,Iscu,Map3k7,Nedd4l,Oxsr1,Park7,Pik3c2a,Ppif,Ppp3ca,Ppp3cb,Ppp3r1,Pten,Sestd1,Snx27,Stk39,Sumo1,Tcaf2,Ubqln1,Vdac1,Ywhae,Ywhaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT,Agrn,Ahcyl1,Akt1,Akt2,Ank3,Arf1,Atp1a1,Atp1a2,Atp1b1,Atp1b3,Camk2d,Chp1,Commd1,Dmd,Dnm2,Fxyd6,Gnas,Gpd1l,Grip1,Ikbkb,Kif5b,Nedd4l,Stk39,Stom,Wnk1,Wnk3,Ywhah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,Actr2,Actr3,Afdn,Arf1,Bhlhb9,Camk2b,Caprin1,Cask,Cfl1,Crebbp,Dbn1,Dbnl,Dhx36,Dnm1l,Eef2k,Eif4g2,Ephb2,Fmr1,Grn,Hnrnpk,Itsn1,Llph,Lrp8,Mecp2,Mfn1,Opa1,Palm,Pbrm1,Psen1,Rac1,Tsc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,Agrn,Akt1,Akt2,Ank3,Appl2,Arl6ip5,Atp1a2,Atp7a,Bin1,Camk2d,Commd1,Crbn,Cttnbp2nl,Ephb2,Fabp5,Fmr1,Gopc,Grip1,Grk2,Grk6,Gsk3a,Gsto1,Iscu,Map3k7,Nedd4l,Oxsr1,Park7,Pik3c2a,Ppif,Ppp3ca,Ppp3cb,Ppp3r1,Pten,Sestd1,Snx27,Stk39,Stxbp3,Sumo1,Tcaf2,Ubqln1,Vdac1,Ywhae,Ywhaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
