Term	GO
GOCC_PHOSPHOPYRUVATE_HYDRATASE_COMPLEX	GO:0000015
GOCC_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX	GO:0000109
GOCC_HISTONE_DEACETYLASE_COMPLEX	GO:0000118
GOCC_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATOR_COMPLEX	GO:0000120
GOCC_HISTONE_ACETYLTRANSFERASE_COMPLEX	GO:0000123
GOCC_SAGA_COMPLEX	GO:0000124
GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	GO:0000127
GOCC_GOLGI_CIS_CISTERNA	GO:0000137
GOCC_GOLGI_TRANS_CISTERNA	GO:0000138
GOCC_GOLGI_MEMBRANE	GO:0000139
GOCC_EXOCYST	GO:0000145
GOCC_UBIQUITIN_LIGASE_COMPLEX	GO:0000151
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	GO:0000152
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	GO:0000153
GOCC_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	GO:0000159
GOCC_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX	GO:0000164
GOCC_RIBONUCLEASE_MRP_COMPLEX	GO:0000172
GOCC_NUCLEAR_EXOSOME_RNASE_COMPLEX	GO:0000176
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	GO:0000177
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_V1_DOMAIN	GO:0000221
GOCC_NUCLEAR_CHROMOSOME	GO:0000228
GOCC_PERICENTRIOLAR_MATERIAL	GO:0000242
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_CATALYTIC_SECTOR_F_1	GO:0000275
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	GO:0000307
GOCC_ORGANELLAR_RIBOSOME	GO:0000313
GOCC_TRANSCRIPTION_EXPORT_COMPLEX	GO:0000346
GOCC_THO_COMPLEX	GO:0000347
GOCC_PHAGOPHORE_ASSEMBLY_SITE	GO:0000407
GOCC_EKC_KEOPS_COMPLEX	GO:0000408
GOCC_AUTOPHAGOSOME_MEMBRANE	GO:0000421
GOCC_TRANSCRIPTION_FACTOR_TFIIH_CORE_COMPLEX	GO:0000439
GOCC_PROTEASOME_COMPLEX	GO:0000502
GOCC_GLYCOSYLPHOSPHATIDYLINOSITOL_N_ACETYLGLUCOSAMINYLTRANSFERASE_GPI_GNT_COMPLEX	GO:0000506
GOCC_CHROMOSOME_CENTROMERIC_REGION	GO:0000775
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	GO:0000779
GOCC_CHROMOSOME_TELOMERIC_REGION	GO:0000781
GOCC_NUCLEOSOME	GO:0000786
GOCC_EUCHROMATIN	GO:0000791
GOCC_HETEROCHROMATIN	GO:0000792
GOCC_CONDENSED_CHROMOSOME	GO:0000793
GOCC_CONDENSED_NUCLEAR_CHROMOSOME	GO:0000794
GOCC_CONDENSIN_COMPLEX	GO:0000796
GOCC_LATERAL_ELEMENT	GO:0000800
GOCC_CENTRAL_ELEMENT	GO:0000801
GOCC_SEX_CHROMOSOME	GO:0000803
GOCC_X_CHROMOSOME	GO:0000805
GOCC_ORIGIN_RECOGNITION_COMPLEX	GO:0000808
GOCC_GINS_COMPLEX	GO:0000811
GOCC_SWR1_COMPLEX	GO:0000812
GOCC_ESCRT_I_COMPLEX	GO:0000813
GOCC_ESCRT_III_COMPLEX	GO:0000815
GOCC_ER_UBIQUITIN_LIGASE_COMPLEX	GO:0000835
GOCC_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX	GO:0000839
GOCC_SPINDLE_POLE	GO:0000922
GOCC_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER	GO:0000923
GOCC_GAMMA_TUBULIN_COMPLEX	GO:0000930
GOCC_GAMMA_TUBULIN_RING_COMPLEX	GO:0000931
GOCC_P_BODY	GO:0000932
GOCC_GARP_COMPLEX	GO:0000938
GOCC_INNER_KINETOCHORE	GO:0000939
