Term	GO
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	GO:0000014
GOMF_MANNOSYLTRANSFERASE_ACTIVITY	GO:0000030
GOMF_TRNA_BINDING	GO:0000049
GOMF_L_ORNITHINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0000064
GOMF_SULFUR_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0000099
GOMF_MICROFILAMENT_MOTOR_ACTIVITY	GO:0000146
GOMF_SNARE_BINDING	GO:0000149
GOMF_RDNA_BINDING	GO:0000182
GOMF_DNA_SECONDARY_STRUCTURE_BINDING	GO:0000217
GOMF_3_KETO_STEROL_REDUCTASE_ACTIVITY	GO:0000253
GOMF_PEROXISOME_TARGETING_SEQUENCE_BINDING	GO:0000268
GOMF_MAGNESIUM_ION_BINDING	GO:0000287
GOMF_RNA_CAP_BINDING	GO:0000339
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING	GO:0000400
GOMF_BUBBLE_DNA_BINDING	GO:0000405
GOMF_MISMATCH_BASE_PAIR_DNA_N_GLYCOSYLASE_ACTIVITY	GO:0000700
GOMF_ADENYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GO:0000774
GOMF_INOSITOL_HEXAKISPHOSPHATE_KINASE_ACTIVITY	GO:0000828
GOMF_MRNA_REGULATORY_ELEMENT_BINDING_TRANSLATION_REPRESSOR_ACTIVITY	GO:0000900
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0000977
GOMF_RNA_POLYMERASE_II_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0000979
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0000987
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	GO:0000995
GOMF_RNA_POLYMERASE_III_TYPE_3_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001006
GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001016
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	GO:0001025
GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001046
GOMF_RNA_POLYMERASE_I_ACTIVITY	GO:0001054
GOMF_RNA_POLYMERASE_II_ACTIVITY	GO:0001055
GOMF_RNA_POLYMERASE_III_ACTIVITY	GO:0001056
GOMF_REGULATORY_REGION_RNA_BINDING	GO:0001069
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	GO:0001091
GOMF_TFIIB_CLASS_TRANSCRIPTION_FACTOR_BINDING	GO:0001093
GOMF_TFIID_CLASS_TRANSCRIPTION_FACTOR_COMPLEX_BINDING	GO:0001094
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING	GO:0001098
GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001161
GOMF_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001162
GOMF_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001163
GOMF_RNA_POLYMERASE_I_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	GO:0001181
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	GO:0001216
GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY	GO:0001217
GOMF_TRANSCRIPTION_COREGULATOR_BINDING	GO:0001221
GOMF_TRANSCRIPTION_COREPRESSOR_BINDING	GO:0001222
GOMF_TRANSCRIPTION_COACTIVATOR_BINDING	GO:0001223
GOMF_GUANINE_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0001409
GOMF_OPIOID_PEPTIDE_ACTIVITY	GO:0001515
GOMF_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY	GO:0001517
GOMF_LIPOPOLYSACCHARIDE_BINDING	GO:0001530
GOMF_N_ACETYLGALACTOSAMINE_4_O_SULFOTRANSFERASE_ACTIVITY	GO:0001537
GOMF_AMYLOID_BETA_BINDING	GO:0001540
GOMF_TRACE_AMINE_RECEPTOR_ACTIVITY	GO:0001594
GOMF_ANGIOTENSIN_RECEPTOR_ACTIVITY	GO:0001595
GOMF_PEPTIDE_YY_RECEPTOR_ACTIVITY	GO:0001601
GOMF_G_PROTEIN_COUPLED_ADENOSINE_RECEPTOR_ACTIVITY	GO:0001609
GOMF_PEPTIDE_RECEPTOR_ACTIVITY	GO:0001653
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING	GO:0001664
GOMF_ALPHA_N_ACETYLGALACTOSAMINIDE_ALPHA_2_6_SIALYLTRANSFERASE_ACTIVITY	GO:0001665
GOMF_ATPASE_ACTIVATOR_ACTIVITY	GO:0001671
GOMF_LIPID_KINASE_ACTIVITY	GO:0001727
GOMF_2_5_OLIGOADENYLATE_SYNTHETASE_ACTIVITY	GO:0001730
GOMF_MRNA_N6_ADENOSINE_METHYLTRANSFERASE_ACTIVITY	GO:0001734
GOMF_RETINAL_DEHYDROGENASE_ACTIVITY	GO:0001758
GOMF_PHOSPHOTYROSINE_RESIDUE_BINDING	GO:0001784
GOMF_PHOSPHATIDYLSERINE_BINDING	GO:0001786
GOMF_IGM_BINDING	GO:0001791
GOMF_OPSONIN_BINDING	GO:0001846
GOMF_OPSONIN_RECEPTOR_ACTIVITY	GO:0001847
