NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	Details ...	103	-0.16811518	---	---	1.0	0.0	2484	tags=79%, list=54%, signal=166%	
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	Details ...	149	-0.07765483	---	---	1.0	0.0	1932	tags=62%, list=42%, signal=102%	
GOBP_VESICLE_ORGANIZATION	GOBP_VESICLE_ORGANIZATION	Details ...	163	-0.111292146	---	---	1.0	0.0	2656	tags=79%, list=57%, signal=177%	
GOCC_COATED_VESICLE	GOCC_COATED_VESICLE	Details ...	128	-0.10441232	---	---	1.0	0.0	2955	tags=81%, list=64%, signal=218%	
GOCC_GLUTAMATERGIC_SYNAPSE	GOCC_GLUTAMATERGIC_SYNAPSE	Details ...	135	-0.12398969	---	---	1.0	0.0	2484	tags=75%, list=54%, signal=156%	
GOCC_PRESYNAPSE	GOCC_PRESYNAPSE	Details ...	162	-0.094139956	---	---	1.0	0.0	2743	tags=77%, list=59%, signal=182%	
GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_SOMATODENDRITIC_COMPARTMENT	Details ...	223	-0.08115412	---	---	1.0	0.0	1730	tags=57%, list=37%, signal=87%	
GOCC_GTPASE_COMPLEX	GOCC_GTPASE_COMPLEX	Details ...	21	-0.5734402	-3.3104825	0.0	0.0	0.0	1991	tags=100%, list=43%, signal=174%	
GOBP_RESPONSE_TO_CATECHOLAMINE	GOBP_RESPONSE_TO_CATECHOLAMINE	Details ...	24	-0.45652756	-2.8839812	0.0	0.0	0.0	2010	tags=92%, list=43%, signal=161%	
GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	Details ...	36	-0.36202484	-2.841939	0.0	0.0	0.0	1780	tags=83%, list=38%, signal=134%	
GOMF_G_PROTEIN_ACTIVITY	GOMF_G_PROTEIN_ACTIVITY	Details ...	26	-0.3820782	-2.4424183	0.0	0.008476764	0.04	1719	tags=81%, list=37%, signal=128%	
GOBP_RESPONSE_TO_DOPAMINE	GOBP_RESPONSE_TO_DOPAMINE	Details ...	19	-0.42794573	-2.3622198	0.0	0.011895776	0.061	2010	tags=89%, list=43%, signal=157%	
GOBP_ENDOTHELIUM_DEVELOPMENT	GOBP_ENDOTHELIUM_DEVELOPMENT	Details ...	34	-0.30771077	-2.2690008	0.0	0.019596701	0.111	2328	tags=88%, list=50%, signal=176%	
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	Details ...	20	-0.41317216	-2.2689989	0.0	0.018196937	0.111	1877	tags=90%, list=40%, signal=151%	
GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION	GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION	Details ...	22	-0.3689019	-2.2386613	0.009259259	0.02049218	0.132	1719	tags=82%, list=37%, signal=129%	
GOBP_RESPONSE_TO_BMP	GOBP_RESPONSE_TO_BMP	Details ...	27	-0.33242133	-2.2358587	0.0	0.019645987	0.134	1250	tags=70%, list=27%, signal=96%	
GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	Details ...	23	-0.3646434	-2.1862469	0.010204081	0.025219636	0.18	2217	tags=91%, list=48%, signal=174%	
GOBP_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	GOBP_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	Details ...	16	-0.4254631	-2.1759095	0.0	0.025959546	0.195	1895	tags=88%, list=41%, signal=147%	
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	Details ...	24	-0.3301203	-2.1211722	0.0	0.03552399	0.268	2339	tags=88%, list=50%, signal=176%	
GOCC_EXTRINSIC_COMPONENT_OF_MEMBRANE	GOCC_EXTRINSIC_COMPONENT_OF_MEMBRANE	Details ...	59	-0.21242955	-2.1051402	0.0	0.037449617	0.291	1804	tags=73%, list=39%, signal=118%	
GOBP_RECEPTOR_INTERNALIZATION	GOBP_RECEPTOR_INTERNALIZATION		41	-0.24809338	-2.090353	0.0	0.039039887	0.313	2735	tags=88%, list=59%, signal=212%	
GOBP_POSITIVE_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	GOBP_POSITIVE_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE		25	-0.3055687	-2.0502484	0.0	0.046462268	0.37	2658	tags=92%, list=57%, signal=214%	
GOBP_REGULATION_OF_FILOPODIUM_ASSEMBLY	GOBP_REGULATION_OF_FILOPODIUM_ASSEMBLY		19	-0.36130917	-2.0131984	0.0	0.053413462	0.422	1921	tags=84%, list=41%, signal=143%	
GOBP_CELL_CELL_SIGNALING_BY_WNT	GOBP_CELL_CELL_SIGNALING_BY_WNT		110	-0.13168582	-1.9380677	0.0	0.0788535	0.57	2162	tags=70%, list=47%, signal=128%	
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		26	-0.29154018	-1.8849638	0.0	0.10133454	0.676	1895	tags=81%, list=41%, signal=136%	
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY		16	-0.36623743	-1.870227	0.0	0.10557218	0.702	1907	tags=88%, list=41%, signal=148%	
GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION	GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION		105	-0.12700576	-1.8670025	0.0	0.1037623	0.71	1932	tags=68%, list=42%, signal=113%	
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER		19	-0.3419249	-1.8434505	0.015748031	0.11296245	0.752	2328	tags=89%, list=50%, signal=179%	
