NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	137	0.60836893	3.7706058	0.0	0.0	0.0	1492	tags=85%, list=30%, signal=119%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	Details ...	162	0.58670723	3.7191055	0.0	0.0	0.0	1337	tags=79%, list=27%, signal=105%	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	50	0.7024999	3.6379802	0.0	0.0	0.0	1107	tags=90%, list=22%, signal=115%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	98	0.62072754	3.6091542	0.0	0.0	0.0	1492	tags=88%, list=30%, signal=123%	
GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	Details ...	101	0.589756	3.4745815	0.0	0.0	0.0	1131	tags=74%, list=23%, signal=94%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	194	0.5282612	3.4186203	0.0	0.0	0.0	1347	tags=71%, list=27%, signal=94%	
GOBP_TRANSLATION_AT_SYNAPSE	GOBP_TRANSLATION_AT_SYNAPSE	Details ...	46	0.68499726	3.4104817	0.0	0.0	0.0	1002	tags=85%, list=20%, signal=105%	
GOMF_STRUCTURAL_MOLECULE_ACTIVITY	GOMF_STRUCTURAL_MOLECULE_ACTIVITY	Details ...	253	0.47496548	3.1076872	0.0	0.0	0.0	1565	tags=67%, list=32%, signal=93%	
GOCC_ORGANELLAR_RIBOSOME	GOCC_ORGANELLAR_RIBOSOME	Details ...	74	0.5502532	3.0386596	0.0	0.0	0.0	1337	tags=76%, list=27%, signal=102%	
GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION	Details ...	102	0.4880315	2.8979158	0.0	0.0	0.0	1539	tags=72%, list=31%, signal=102%	
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	68	0.5223101	2.8595088	0.0	0.0	0.0	1337	tags=72%, list=27%, signal=97%	
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	Details ...	118	0.48130235	2.8556843	0.0	0.0	0.0	1498	tags=69%, list=30%, signal=97%	
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	Details ...	47	0.5561161	2.807664	0.0	0.0	0.0	1325	tags=77%, list=27%, signal=104%	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	Details ...	61	0.5204095	2.8045251	0.0	0.0	0.0	1446	tags=74%, list=29%, signal=103%	
GOMF_RRNA_BINDING	GOMF_RRNA_BINDING	Details ...	62	0.51174396	2.7552316	0.0	0.0	0.0	901	tags=60%, list=18%, signal=72%	
GOCC_MITOCHONDRIAL_MATRIX	GOCC_MITOCHONDRIAL_MATRIX	Details ...	204	0.4300703	2.7348957	0.0	0.0	0.0	1337	tags=59%, list=27%, signal=78%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	117	0.45746988	2.72015	0.0	5.6645713E-5	0.001	1165	tags=60%, list=23%, signal=76%	
GOBP_MATURATION_OF_LSU_RRNA	GOBP_MATURATION_OF_LSU_RRNA	Details ...	28	0.61691964	2.7094584	0.0	5.3498727E-5	0.001	1421	tags=86%, list=29%, signal=119%	
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	Details ...	207	0.4204022	2.7061777	0.0	5.0683007E-5	0.001	1770	tags=69%, list=36%, signal=102%	
GOCC_SMALL_SUBUNIT_PROCESSOME	GOCC_SMALL_SUBUNIT_PROCESSOME	Details ...	61	0.4839082	2.6348844	0.0	2.3992508E-4	0.005	1214	tags=64%, list=24%, signal=84%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS		244	0.397425	2.6181238	0.0	2.285001E-4	0.005	1541	tags=60%, list=31%, signal=83%	
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE	GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE		16	0.6758184	2.5926495	0.0	3.4926244E-4	0.008	1466	tags=94%, list=30%, signal=133%	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT		37	0.5456658	2.5925348	0.0	3.3407708E-4	0.008	1131	tags=70%, list=23%, signal=90%	
