GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING,ABR,ADNP,AKAP12,ANAPC2,APBA1,APBA2,ARF1,ARRB2,ATAD1,ATP2A2,BAIAP2,BRAF,CA2,CASK,CDK5,CHMP2B,CPLX1,CYFIP1,DAG1,DBN1,DGKZ,DLGAP4,DNM1,EIF2AK4,EIF4A3,EIF4E,EIF4EBP2,ERC1,FABP5,FBXL20,FLOT1,FMR1,FXR1,GIPC1,GIT1,GNAI2,GSK3B,HDAC6,HIP1,HOMER1,HRAS,INA,ITGB1,KIF5B,KRAS,MAP1A,MAP1B,MAPK1,MAPK3,MAPK9,MECP2,MPP2,MTMR2,MYOF,NCDN,NCSTN,NEFL,NF1,NGDN,NPTN,PACSIN2,PAFAH1B1,PFN1,PFN2,PLCG1,PPP1R9A,PPP3CA,PPP3R1,PREPL,PRKACA,PRKAR2B,PSEN1,PTPRS,RAB3A,RAB3GAP1,RAB5A,RAB8A,RAP1A,RNF167,RTN4,SLC12A2,SLC30A1,SNAP25,SNAPIN,SNCA,SNCG,SORCS3,STAU1,STAU2,STX3,STXBP1,SYAP1,TBC1D24,TUBB2B,UBE3A,USP8,VPS18,VPS35,YTHDF1,YWHAG,YWHAH,ZDHHC3,ZMYND8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,ABI2,ABR,AKAP13,ALS2,ARF6,ARFGAP1,ARFGEF1,ARFIP2,ARHGAP1,ARHGAP12,ARHGAP17,ARHGAP21,ARHGAP35,ARHGAP5,ARHGDIA,ARHGEF1,ARHGEF12,ARHGEF2,ARL3,ARRB1,BRAP,BRK1,CADM4,CBL,CCDC88A,CD2AP,CDC42,CDC42EP1,CDC42EP4,CDK2,CDON,CELSR1,CFL1,CHML,CHN1,CHP1,CHUK,CRK,CRKL,CUL3,CYFIP1,CYRIB,CYTH2,DBNL,DHCR24,DNAJA3,DOCK1,DOCK11,DOCK4,DOCK7,DOCK9,ELMO1,F11R,FGD4,FGF2,FLOT1,G3BP1,G3BP2,GBF1,GDI1,GDI2,GIT1,GIT2,GMIP,GNA13,GNB1,GRB2,HACD3,HACE1,HRAS,IQGAP3,IQSEC1,ITGAV,ITGB1,ITSN1,KPNB1,KRAS,LIMK1,LIPA,MAP4K4,MAPRE2,MFN2,MYO9A,MYO9B,NCKAP1,NF1,NISCH,NRAS,NUCB1,NUCB2,NUP62,PARK7,PDCD10,PDPN,PHACTR4,PLD2,PPP2CB,PREX1,PREX2,PSD3,RAB18,RAB21,RAB4A,RAB4B,RAB9A,RABGEF1,RABIF,RAC1,RAC3,RAF1,RALA,RALB,RALGAPB,RALGPS2,RAP1A,RAP2B,RAP2C,RASA3,RDX,RHEB,RHOA,RHOC,RHOG,RHOT1,RIPOR2,ROCK1,ROCK2,RRAGC,RRAS,RRAS2,RUFY1,SH3BP1,SHOC2,SHTN1,SOS1,SRC,SRGAP2,SRGAP3,STAMBP,STMN1,SWAP70,SYNJ2BP,TAX1BP3,TIAM1,USO1,USP8,VAV2,WASF2,YWHAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_VESICLE_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VESICLE_ORGANIZATION,AGFG1,AKT2,ALS2,ANKFY1,ANXA1,ANXA2,AP1B1,AP1G1,AP1S1,AP1S2,AP2M1,AP3B1,AP3D1,AP3M1,AP3M2,AP3S1,ARFGAP2,ARL8B,ATP6V0A1,ATP6V0C,ATP6V0D1,ATP6V1A,ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1E1,ATP6V1F,ATP6V1G1,ATP6V1G2,ATP6V1H,BLOC1S2,BLOC1S4,C2CD5,CHMP1A,CHMP1B,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP6,CORO1C,CPLX1,CREB1,CUL3,DNAJC13,DNM1,EEA1,EPS15,FNBP1L,GBF1,GOLPH3,GOSR1,HGS,IST1,LAMTOR1,MIA3,MVB12A,MYO18A,NECTIN2,PAFAH1B1,PDCD6,PDCD6IP,PEF1,PHETA1,PIKFYVE,PIP4K2A,PIP4K2B,PPP6C,PREB,PRKCI,RAB13,RAB14,RAB1A,RAB22A,RAB32,RAB34,RAB3A,RAB5B,RAB7A,RAB8A,RAB8B,RFX2,S100A10,SAR1A,SAR1B,SCAP,SCARB2,SEC13,SEC16A,SEC22B,SEC23A,SEC24A,SEC24B,SEC24C,SEC31A,SEPTIN8,SHROOM2,SNAP23,SNAP25,SNAP29,SNAP91,SNAPIN,SNCA,SNF8,SNX11,SNX3,SNX33,SORT1,STAM,STAM2,STX12,STX16,STX2,STX3,STX7,STX8,STXBP1,TBC1D20,TBPL1,TFG,TGFBRAP1,TMCC1,TMED10,TMED2,TMED9,TOM1,TRAPPC10,TRAPPC11,TRAPPC12,TRAPPC2L,TRAPPC3,TRAPPC4,TRAPPC5,TRAPPC6B,TRAPPC8,TSG101,UBAP1,UNC13B,USO1,USP8,VAMP3,VAPA,VAPB,VIPAS39,VPS11,VPS16,VPS18,VPS25,VPS28,VPS33A,VPS33B,VPS37B,VPS4A,VPS4B,VPS8,VTA1,VTI1B,WASHC5,WASL,YIPF4,YIPF5,ZEB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOCC_COATED_VESICLE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COATED_VESICLE,AAK1,AP1B1,AP1G1,AP1S1,AP1S2,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,AP3B1,ARCN1,ATP6V0A1,ATP6V0C,ATP6V0D1,ATP6V1A,ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1E1,ATP6V1F,ATP6V1G2,ATP6V1H,BCAP31,CCDC88A,CD59,CLINT1,CLTA,CLTB,CLTC,CNIH4,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,CTSC,CTSZ,DBNL,DDHD2,DNAJC5,ECPAS,EPN1,EPN2,EPN3,ERGIC1,ERGIC2,ERGIC3,GGA2,GOLGA2,GPR107,HAX1,HEATR5B,HIP1,HIP1R,HSPA8,HSPD1,IER3IP1,IGF2R,INPP5F,LMAN1,LMAN2,LMAN2L,LRP2,M6PR,MCFD2,MYO1E,MYO6,NCALD,NECAP2,PACS1,PANK1,PDCD6,PEF1,PHETA1,PIK3C2A,RAB13,RAB14,RAB3A,RAB5A,RAB8A,RAB8B,SAR1A,SAR1B,SCAMP1,SCAP,SCARB2,SCYL1,SCYL2,SEC13,SEC16A,SEC22B,SEC23A,SEC23IP,SEC24A,SEC24B,SEC24C,SEC31A,SH3GL2,SNAP91,SNX18,SNX3,SNX9,SORT1,SPG21,TFRC,TMED1,TMED10,TMED2,TMED4,TMED5,TMED7,TMED9,USE1,USO1,VAMP3,VMA21,VPS11,VPS16,VPS18,VPS33A,VPS33B,VTI1B,YIF1A,YIF1B,YIPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOCC_GLUTAMATERGIC_SYNAPSE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_GLUTAMATERGIC_SYNAPSE,ABR,ACTN1,ACTN2,AP2B1,AP2M1,AP3D1,APBA1,APPL1,ARF4,ARF6,ARPC2,ARPC5L,ARRB2,ASAP1,ATAD1,ATP2B1,ATP2B4,BAIAP2,CADPS,CDC42,CHD4,CHMP2B,CNN3,CPLX1,CPSF2,CTBP1,CTBP2,CTNND1,CUL3,DAG1,DAPK1,DBN1,DBNL,DGCR8,DLG1,DLG3,DLG5,DLGAP4,DNAJB1,DNM1,DNM3,DYNLL2,EEA1,EGLN1,EIF4A3,EIF4E,ELAVL1,EPS15,FARP1,FBXL20,FLNA,FLOT1,FLOT2,FXR1,FXYD6,GIPC1,GPC6,GRIPAP1,GSK3B,HIP1,HIP1R,HNRNPD,HOMER1,HPCA,HRAS,HSPA8,ITGA5,ITGB1,LAMA5,LIN7C,MAL2,MAP1LC3A,MAPK14,MAPK3,MECP2,NAPA,NAPB,NF1,NGDN,NOS1AP,PACSIN2,PAFAH1B1,PAK2,PFN1,PFN2,PIN1,PLCG1,PLEKHA5,PPP1CA,PPP1CC,PPP2R1A,PPP2R2A,PPP3CA,PPP3R1,PRKACA,PRKAR2B,PRKCI,PSEN1,PTPRS,PURA,RAB8A,RAC1,RAC3,RAP1A,RELA,RHOA,RPL22,RTN4,SCRIB,SEPTIN11,SH3GL1,SH3GL2,SNAP25,SNX27,SNX6,SORCS3,SORT1,SPTBN1,SPTBN2,SRC,STAU1,STK38L,STX3,STXBP1,SV2A,TIAM1,TNIK,UBE3A,USP8,VCP,VPS18,VPS35,WASL,YWHAH,YWHAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOCC_PRESYNAPSE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_PRESYNAPSE,AAK1,ACTG1,AMPH,AP1G1,AP2B1,AP2M1,AP2S1,AP3D1,AP3M2,AP3S1,APBA1,APBA2,APH1A,APPL1,ARF6,ATP2B1,ATP2B4,ATP6V0A1,ATP6V0C,ATP6V0D1,ATP6V1A,ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1E1,ATP6V1F,ATP6V1G1,ATP6V1G2,ATP6V1H,BAIAP2,BCL2L1,BORCS5,BRAF,CAD,CADPS,CANX,CASK,CDK16,CDK5,CLTA,CLTB,COPS4,COPS5,CPLX1,CTBP1,CTBP2,CTNND1,CYFIP1,DBNL,DNAJC5,DNM1,DNM1L,DNM2,DNM3,ERBB2,ERC1,EXOC3,FBXL20,FLOT1,FMR1,FXR1,FXR2,FXYD6,GDI1,GIPC1,GIT1,GIT2,GRIPAP1,GRK2,GSK3B,HIP1,HNRNPR,HSPA8,IQSEC1,ITSN1,KCTD12,LAMP1,LIN7A,LIN7C,MAL2,METTL5,MFF,MICAL1,MTMR2,MYOF,NAPA,NCSTN,NEFL,NF1,NPTN,PARK7,PDLIM5,PFN2,PIP5K1C,PLD2,PNISR,PPFIBP1,PPP1CA,PPP1CC,PPT1,PSEN1,PTPRS,RAB11B,RAB13,RAB3A,RAB3B,RAB3D,RAB5A,RAB5B,RAB6B,RAB7A,RAB8A,RAB8B,RAD51,RAP1A,RPL22,SCAMP1,SCRIB,SCRN1,SEPTIN2,SEPTIN3,SEPTIN6,SEPTIN8,SH3GL1,SH3GL2,SLC29A1,SLC2A1,SNAP23,SNAP25,SNAP29,SNAP91,SNAPIN,SNCA,SNCG,SNX4,SNX9,SPTBN2,SRSF10,STX12,STX16,STX2,STX3,STX7,STXBP1,SV2A,SYAP1,SYNGR2,SYPL1,TBC1D24,TMED9,TNIK,TOR1A,TPBG,TRAPPC4,UNC13B,VAC14,VPS18,VPS35,VTI1B,WFS1,YWHAG,YWHAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOCC_SOMATODENDRITIC_COMPARTMENT,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_SOMATODENDRITIC_COMPARTMENT,ABHD12,ABI2,ABR,ACAD9,ACTN2,ADNP,AGO2,AKAP12,ALCAM,ALS2,AMFR,ANK3,ANXA3,APBA1,APBA2,ARF4,ARHGEF7,ASAP1,ATP1A3,ATXN10,ATXN1L,BAG2,BAIAP2,BECN1,BPTF,BRD1,CAD,CADM1,CAPN2,CAPRIN1,CASP3,CD200,CD2AP,CDC42,CDK5,CLU,CNN3,COMT,CPLX1,CPNE5,CTNND1,CTNND2,CTTN,CYFIP1,DBN1,DBNL,DCTN1,DHX36,DIP2B,DMWD,DNAJB1,DNM3,DPYSL5,DTNB,DYRK1A,EIF4A3,ELFN1,ELOVL5,ENO2,ERO1A,FARP1,FBXW11,FKBP4,FLNA,FLOT2,FMR1,FUBP3,FXR1,FXR2,G3BP1,GDI1,GFRA1,GIGYF2,GIPC1,GLRX3,GLRX5,GNAI2,GNAZ,GPHN,GRIPAP1,GSK3A,GSK3B,HCFC1,HDAC1,HDAC6,HIP1R,HNRNPR,HNRNPU,HOMER1,HPCA,HSP90AA1,HSP90AA4P,HSP90AB1,HSPA8,IGF1R,IGF2BP1,INPP5A,INPP5F,ITGB1,KATNB1,KIF1A,KIF21A,KIF21B,KIF5B,KIF5C,LRP2,LSM1,MAGOHB,MAP1A,MAP1B,MAP1S,MAP2,MAP2K4,MAPK8,MAPK8IP3,MARK1,MARK3,MCRS1,MOB4,MPP2,MTMR2,MYO1D,NCDN,NDUFS7,NEDD4,NF1,NGDN,NRDC,NSF,NUMA1,OPA1,PAFAH1B1,PAK1,PALM,PHAX,PMM2,PPP1CA,PPP1CC,PPP1R9A,PPP1R9B,PPP2R1A,PPP3CA,PPT1,PREX1,PRKAA1,PRKAA2,PRKACA,PRKAR2B,PRPH,PSEN1,PTK2,PTK7,PTPRS,PUM2,PURA,RAB5A,RAB8A,RABGEF1,RAC1,RAC3,RACK1,RANGAP1,RBM3,RBM8A,RHOA,RPL28,RPS6,RPTOR,RRM1,RTN1,SACS,SARM1,SEPTIN11,SHTN1,SLC12A2,SLC2A3,SLC38A7,SLC3A2,SMN1,SMURF1,SNAP25,SNCA,SNCG,SOD1,SOS1,SPTBN2,SRC,SRGAP2,SRR,SRSF10,STAT1,STAU1,STAU2,STMN2,STRN,STRN3,STRN4,STX3,SV2A,SYAP1,TANC2,TIAM1,TOP1,TPBG,TRAPPC4,TRIM3,TUBB4A,TXN2,TXNRD2,UCHL1,UPF3B,URI1,USP8,VPS35,VTI1B,WASHC5,WFS1,XRN1,YKT6,ZC3H14,ZC4H2,ZMYND8,ZPR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOCC_GTPASE_COMPLEX,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_GTPASE_COMPLEX,GNA11,GNA13,GNAI1,GNAI2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB4,GNG10,GNG12,GNG2,GNG4,GNG5,HRAS,RRAGA,RRAGC,SOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBP_RESPONSE_TO_CATECHOLAMINE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_CATECHOLAMINE,ADCY6,ARRB2,ATP2B4,FLNA,GNA11,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNG2,GSK3A,GSK3B,HDAC2,NCSTN,PALM,PKLR,PRKACA,PRKD1,PRMT5,SIN3A,SNCA,VPS35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,AP2M1,CRKL,CTNNA2,CTNND1,ESYT1,ESYT2,FARP1,FERMT2,GNA11,GNA13,GNAI1,GNAI2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB4,GNG10,GNG12,GNG2,GNG4,GNG5,PPP3CA,SCRIB,SNAP25,SNAP91,SRC,STXBP1,TIAM1,TOLLIP,TRAF6,USP8,YES1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOMF_G_PROTEIN_ACTIVITY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_G_PROTEIN_ACTIVITY,ARF6,ARL8B,CDC42,GNA11,HRAS,KRAS,NRAS,RAB10,RAB11B,RAB1A,RAB1B,RAB4A,RAB4B,RAB5A,RAB5B,RAB5C,RAB7A,RAC1,RAC3,RALA,RALB,RAN,RAP1A,RAP2B,RAP2C,RHOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
