Term	GO
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	GO:0000002
GOBP_REPRODUCTION	GO:0000003
GOBP_SINGLE_STRAND_BREAK_REPAIR	GO:0000012
GOBP_REGULATION_OF_DNA_RECOMBINATION	GO:0000018
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	GO:0000019
GOBP_MITOTIC_SPINDLE_ELONGATION	GO:0000022
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	GO:0000027
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	GO:0000028
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GO:0000038
GOBP_TRANSITION_METAL_ION_TRANSPORT	GO:0000041
GOBP_CITRULLINE_METABOLIC_PROCESS	GO:0000052
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	GO:0000054
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	GO:0000055
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	GO:0000056
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO:0000070
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	GO:0000075
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING	GO:0000076
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	GO:0000083
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	GO:0000096
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GO:0000097
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	GO:0000098
GOBP_SULFUR_AMINO_ACID_TRANSPORT	GO:0000101
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	GO:0000122
GOBP_RRNA_MODIFICATION	GO:0000154
GOBP_MAPK_CASCADE	GO:0000165
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GO:0000184
GOBP_PROTEIN_POLYUBIQUITINATION	GO:0000209
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	GO:0000212
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	GO:0000226
GOBP_LEPTOTENE	GO:0000237
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	GO:0000244
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	GO:0000245
GOBP_ALLANTOIN_METABOLIC_PROCESS	GO:0000255
GOBP_MITOCHONDRIAL_FISSION	GO:0000266
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	GO:0000270
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	GO:0000271
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	GO:0000272
GOBP_MITOTIC_CELL_CYCLE	GO:0000278
GOBP_M_PHASE	GO:0000279
GOBP_MITOTIC_CYTOKINESIS	GO:0000281
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	GO:0000288
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	GO:0000289
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	GO:0000290
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	GO:0000291
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	GO:0000301
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	GO:0000302
GOBP_RESPONSE_TO_OXYGEN_RADICAL	GO:0000305
GOBP_RE_ENTRY_INTO_MITOTIC_CELL_CYCLE	GO:0000320
GOBP_PROTEIN_DENEDDYLATION	GO:0000338
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	GO:0000375
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GO:0000380
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GO:0000381
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	GO:0000387
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	GO:0000394
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	GO:0000395
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	GO:0000413
GOBP_AUTOPHAGY_OF_MITOCHONDRION	GO:0000422
GOBP_MITOPHAGY	GO:0000423
GOBP_PEXOPHAGY	GO:0000425
GOBP_CARBON_CATABOLITE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	GO:0000429
GOBP_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_BY_GLUCOSE	GO:0000430
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000447
GOBP_SNORNA_GUIDED_RRNA_PSEUDOURIDINE_SYNTHESIS	GO:0000454
GOBP_MATURATION_OF_5_8S_RRNA	GO:0000460
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000462
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000463
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000466
GOBP_MATURATION_OF_LSU_RRNA	GO:0000470
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000479
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000480
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	GO:0000491
GOBP_BOX_C_D_SNORNP_ASSEMBLY	GO:0000492
GOBP_EMBRYONIC_AXIS_SPECIFICATION	GO:0000578
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	GO:0000712
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	GO:0000722
GOBP_RECOMBINATIONAL_REPAIR	GO:0000725
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	GO:0000727
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	GO:0000729
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	GO:0000731
GOBP_SISTER_CHROMATID_SEGREGATION	GO:0000819
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	GO:0000820
GOBP_CELL_MORPHOGENESIS	GO:0000902
GOBP_CYTOKINESIS	GO:0000910
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GO:0000956
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	GO:0000957
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	GO:0000959
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	GO:0000960
GOBP_MITOCHONDRIAL_RNA_PROCESSING	GO:0000963
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	GO:0000965
GOBP_RNA_5_END_PROCESSING	GO:0000966
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	GO:0000972
GOBP_RESPONSE_TO_ACID_CHEMICAL	GO:0001101
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	GO:0001325
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	GO:0001408
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	GO:0001501
GOBP_CARTILAGE_CONDENSATION	GO:0001502
GOBP_OSSIFICATION	GO:0001503
GOBP_NEUROTRANSMITTER_UPTAKE	GO:0001504
GOBP_ACTION_POTENTIAL	GO:0001508
GOBP_RNA_METHYLATION	GO:0001510
GOBP_PSEUDOURIDINE_SYNTHESIS	GO:0001522
GOBP_ANGIOGENESIS	GO:0001525
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GO:0001539
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	GO:0001541
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	GO:0001542
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	GO:0001547
GOBP_LUTEINIZATION	GO:0001553
GOBP_OOCYTE_MATURATION	GO:0001556
GOBP_REGULATION_OF_CELL_GROWTH	GO:0001558
GOBP_FATTY_ACID_ALPHA_OXIDATION	GO:0001561
GOBP_RESPONSE_TO_PROTOZOAN	GO:0001562
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	GO:0001569
GOBP_VASCULOGENESIS	GO:0001570
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	GO:0001573
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	GO:0001574
GOBP_MICROTUBULE_BUNDLE_FORMATION	GO:0001578
GOBP_OSTEOBLAST_DIFFERENTIATION	GO:0001649
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	GO:0001655
GOBP_METANEPHROS_DEVELOPMENT	GO:0001656
GOBP_TEMPERATURE_HOMEOSTASIS	GO:0001659
GOBP_FEVER_GENERATION	GO:0001660
GOBP_CONDITIONED_TASTE_AVERSION	GO:0001661
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	GO:0001667
GOBP_ACROSOME_ASSEMBLY	GO:0001675
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GO:0001676
GOBP_INTRACELLULAR_GLUCOSE_HOMEOSTASIS	GO:0001678
GOBP_GASTRIC_ACID_SECRETION	GO:0001696
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	GO:0001701
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	GO:0001702
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	GO:0001704
GOBP_ECTODERM_FORMATION	GO:0001705
GOBP_ENDODERM_FORMATION	GO:0001706
GOBP_CELL_FATE_SPECIFICATION	GO:0001708
GOBP_CELL_FATE_DETERMINATION	GO:0001709
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	GO:0001710
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	GO:0001711
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	GO:0001714
