Gene stable ID	Mouse gene stable ID	Mouse gene name	Mouse homology type	Gene name
ENSG00000198888	ENSMUSG00000064341	mt-Nd1	ortholog_one2one	MT-ND1
ENSG00000198763	ENSMUSG00000064345	mt-Nd2	ortholog_one2one	MT-ND2
ENSG00000198804	ENSMUSG00000064351	mt-Co1	ortholog_one2one	MT-CO1
ENSG00000198712	ENSMUSG00000064354	mt-Co2	ortholog_one2one	MT-CO2
ENSG00000228253	ENSMUSG00000064356	mt-Atp8	ortholog_one2one	MT-ATP8
ENSG00000198899	ENSMUSG00000064357	mt-Atp6	ortholog_one2one	MT-ATP6
ENSG00000198938	ENSMUSG00000064358	mt-Co3	ortholog_one2one	MT-CO3
ENSG00000198840	ENSMUSG00000064360	mt-Nd3	ortholog_one2one	MT-ND3
ENSG00000212907	ENSMUSG00000065947	mt-Nd4l	ortholog_one2one	MT-ND4L
ENSG00000198886	ENSMUSG00000064363	mt-Nd4	ortholog_one2one	MT-ND4
ENSG00000198786	ENSMUSG00000064367	mt-Nd5	ortholog_one2one	MT-ND5
ENSG00000198695	ENSMUSG00000064368	mt-Nd6	ortholog_one2one	MT-ND6
ENSG00000198727	ENSMUSG00000064370	mt-Cytb	ortholog_one2one	MT-CYB
ENSG00000277374	ENSMUSG00000065881	Gm22866	ortholog_one2many	U1
ENSG00000273748	ENSMUSG00000031590	Frg1	ortholog_one2many	
ENSG00000277196	ENSMUSG00000003526	Prodh	ortholog_one2many	
ENSG00000274847	ENSMUSG00000024175	Tekt4	ortholog_one2many	MAFIP
ENSG00000274917	ENSMUSG00002075637	Gm55073	ortholog_one2one	RNA5-8SN5
ENSG00000278294	ENSMUSG00002075795	Gm54867	ortholog_one2many	5_8S_rRNA
ENSG00000278817	ENSMUSG00000003531	Dgcr6	ortholog_one2many	
ENSG00000276351	ENSMUSG00002075214	Gm56421	ortholog_one2many	
ENSG00000276345	ENSMUSG00000037772	Mrpl23	ortholog_one2many	
ENSG00000275063	ENSMUSG00000076646	Ighv2-6-8	ortholog_many2many	
ENSG00000275063	ENSMUSG00000076670	Ighv3-5	ortholog_many2many	
ENSG00000275063	ENSMUSG00000095866	Ighv2-4	ortholog_many2many	
ENSG00000275063	ENSMUSG00000096638	Ighv2-9	ortholog_many2many	
ENSG00000275063	ENSMUSG00000094164	Ighv2-3	ortholog_many2many	
