Gene stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSMUSG00000064341	P03888	mt-Nd1
ENSMUSG00000064345	P03893	mt-Nd2
ENSMUSG00000064351	P00397	mt-Co1
ENSMUSG00000064354	P00405	mt-Co2
ENSMUSG00000064356	P03930	mt-Atp8
ENSMUSG00000064357	P00848	mt-Atp6
ENSMUSG00000064358	P00416	mt-Co3
ENSMUSG00000064360	P03899	mt-Nd3
ENSMUSG00000065947	P03903	mt-Nd4l
ENSMUSG00000064363	P03911	mt-Nd4
ENSMUSG00000064367	P03921	mt-Nd5
ENSMUSG00000064368	P03925	mt-Nd6
ENSMUSG00000064370	P00158	mt-Cytb
ENSMUSG00000095019		
ENSMUSG00000094915		
ENSMUSG00000096776		Vmn1r186
ENSMUSG00000095250		
ENSMUSG00000094741		
ENSMUSG00000094303		
ENSMUSG00000079800		
ENSMUSG00000094836		
ENSMUSG00000095666		
ENSMUSG00000094722		
ENSMUSG00000095787		
ENSMUSG00000096244		
ENSMUSG00000074720		
ENSMUSG00000095041		
ENSMUSG00000095092		
ENSMUSG00000096236		
ENSMUSG00000096100		
ENSMUSG00000096680		
ENSMUSG00000079192		
ENSMUSG00000095505		
ENSMUSG00000094383		
ENSMUSG00000095672		
ENSMUSG00000096756		
ENSMUSG00000079794		
ENSMUSG00000079808		
ENSMUSG00000094337		
ENSMUSG00000094474		
ENSMUSG00000094799		
ENSMUSG00000079190		
ENSMUSG00000094791		
ENSMUSG00000095570		
ENSMUSG00000094514		
ENSMUSG00000096728		
ENSMUSG00000096550		Gm16367
ENSMUSG00000094172		
ENSMUSG00000094887		
ENSMUSG00000091585		
ENSMUSG00000095763		
ENSMUSG00000095523		
ENSMUSG00000095475		
ENSMUSG00000094855		
ENSMUSG00000079222		
ENSMUSG00000094874		
ENSMUSG00000095500		
ENSMUSG00000095450		
ENSMUSG00000094728		
ENSMUSG00000062783		Csprs
ENSMUSG00000096808		
ENSMUSG00000095634		Gm20816
ENSMUSG00000100032		Gm20817
ENSMUSG00000100535		Gm20870
ENSMUSG00000099782		Gm20903
ENSMUSG00000101157		Gm20905
ENSMUSG00000094575		Gm20738
ENSMUSG00000101146		Gm20814
ENSMUSG00000100902		Gm20850
ENSMUSG00000100892		Gm20897
ENSMUSG00000096898		Gm20867
ENSMUSG00000094739		Gm20806
ENSMUSG00000101471		Gm29276
ENSMUSG00000095650		Gm20854
ENSMUSG00000100240		Gm20820
ENSMUSG00000102122		Gm20883
ENSMUSG00000099856		Gm20906
ENSMUSG00000094729		Gm20747
ENSMUSG00000100045		Gm20929
ENSMUSG00000093950		Gm20823
ENSMUSG00000100856		Gm21627
ENSMUSG00000101766		Gm20908
ENSMUSG00000095785		Gm20924
ENSMUSG00000093993		Gm20736
ENSMUSG00000096666		Gm20852
ENSMUSG00000095302		Ssty2
ENSMUSG00000096016		Gm20937
ENSMUSG00000103919		Gm21366
ENSMUSG00000093868		Gm20809
ENSMUSG00000101667		Gm29289
ENSMUSG00000093918	O35698	Gm21677
ENSMUSG00000094511		Gm21693
ENSMUSG00000093987	O35698	Gm21704
ENSMUSG00000095948	O35698	Gm21708
ENSMUSG00000096520	Q60990	Gm3376
ENSMUSG00000093927		Gm20918
ENSMUSG00000095148		Gm20873
ENSMUSG00000096686		Gm20830
ENSMUSG00000100939		Gm28998
ENSMUSG00000094081		Gm20826
ENSMUSG00000100645		Gm28576
ENSMUSG00000099861		Gm29049
ENSMUSG00000095324		Gm20825
