gene_human,gene,M_1_R1,M_1_R2,M_1_R3,M_2_R1,M_2_R2,M_2_R3,M_3_R1,M_3_R2,M_3_R3,H_1_R1,H_1_R2,H_1_R3,H_2_R1,H_2_R2,H_2_R3,H_3_R1,H_3_R2,H_3_R3,Gene description,Gene stable ID,Human gene stable ID,Protein stable ID,Protein.Group,Protein.Ids,Protein.Names,Protein.Group,Protein.Ids,Protein.Names
Tmsb4x,Tmsb4x,447114.9522,332548.1163,264483.2784,0,0,0,0,0,0,35760649.64,30976590.4,37375822.49,56697870.71,62605302.71,65449187.3,34002589.31,37752706.47,33940480.83,"thymosin, beta 4, X chromosome [Source:MGI Symbol;Acc:MGI:99510]",ENSMUSG00000049775,ENSG00000154620,ENSMUSP00000107795,P62328,P62328,TYB4_HUMAN,P20065,P20065,TYB4_MOUSE
COMMD6,Commd6,0,26243.03643,24563.4731,0,28314.19315,0,0,21372.19608,0,135291.1953,135048.7181,129589.0801,171423.153,163911.3377,170125.6296,139414.2142,134404.4825,143536.8574,COMM domain containing 6 [Source:MGI Symbol;Acc:MGI:1913450],ENSMUSG00000075486,ENSG00000188243,,Q7Z4G1,Q7Z4G1,COMD6_HUMAN,B7ZNP3,B7ZNP3,B7ZNP3_MOUSE
RBIS,Rbis,13263.59917,6831.984886,9360.603937,0,3688.410943,3177.59666,1466.393145,3109.447567,0,50082.34664,67184.02922,46530.88911,51219.61381,55088.14237,42552.52439,43648.69384,100230.3793,0,ribosomal biogenesis factor [Source:MGI Symbol;Acc:MGI:1916376],ENSMUSG00000078784,ENSG00000176731,ENSMUSP00000139512,Q8N0T1,Q8N0T1,RBIS_HUMAN,Q0VG62,Q0VG62;A0A087WNL9,RBIS_MOUSE
SLC44A2,Slc44a2,4976.118243,1326.721269,4206.932742,0,3321.111167,0,1354.1347,3493.611561,0,36953.11021,38277.04341,33270.97451,45649.54406,38116.79654,37278.89491,39066.53275,41165.22734,43607.38388,"solute carrier family 44, member 2 [Source:MGI Symbol;Acc:MGI:1915932]",ENSMUSG00000057193,ENSG00000129353,ENSMUSP00000150147,Q8IWA5,Q8IWA5;K7EPV6;K7ESF5,CTL2_HUMAN,A0A1L1SS87;A0A1L1SU40,A0A1L1SS87;A0A1L1SU40,A0A1L1SS87_MOUSE;A0A1L1SU40_MOUSE
CST3,Cst3,22946.42468,15187.79637,18266.28148,0,0,0,6182.971564,10122.73524,18905.13295,79219.69576,93271.55088,74420.76859,95069.71404,93109.97096,91214.77119,89883.95507,87780.09267,99779.07373,cystatin C [Source:MGI Symbol;Acc:MGI:102519],ENSMUSG00000027447,ENSG00000101439,ENSMUSP00000028938,P01034,P01034,CYTC_HUMAN,P21460,P21460;A2APX3,CYTC_MOUSE
PIN1,Pin1rt1,7131.18759,3328.591552,0,0,4720.321339,1941.538667,8037.519944,7243.635307,7612.99263,467323.7978,548709.9347,431665.5311,482124.9873,446723.5106,429350.0657,402519.9333,440323.4956,472644.7528,"peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1, retrogene 1 [Source:MGI Symbol;Acc:MGI:3649546]",ENSMUSG00000074997,ENSG00000127445,ENSMUSP00000139143,Q13526,Q13526;K7EMU7,PIN1_HUMAN,Q3ULQ2,Q3ULQ2,Q3ULQ2_MOUSE
PTP4A2,Ptp4a2,26447.45706,0,0,0,0,0,0,2662.152679,0,21356.68322,28894.75581,21150.41956,7394.270466,7217.936495,6718.697021,3604.21488,6950.149748,13885.71069,protein tyrosine phosphatase 4a2 [Source:MGI Symbol;Acc:MGI:1277117],ENSMUSG00000028788,ENSG00000184007,,Q12974,Q12974,TP4A2_HUMAN,O70274,O70274,TP4A2_MOUSE
BRD4,Brd4,7781.153979,5011.20574,4510.20635,0,5599.46439,7468.073737,8549.985044,5912.447038,4997.317199,20036.77576,21663.39274,20177.56574,25821.69818,25392.4666,24930.89098,24099.7538,25888.32168,24468.09998,bromodomain containing 4 [Source:MGI Symbol;Acc:MGI:1888520],ENSMUSG00000024002,ENSG00000141867,ENSMUSP00000003726,O60885,O60885,BRD4_HUMAN,A0A2R8VHW4,A0A2R8VHW4,A0A2R8VHW4_MOUSE
ZNF580,ZNF580,17629.39744,14355.0172,13162.84411,0,15898.95322,0,12843.93169,11085.15708,8406.031555,19057.28283,18123.21356,19430.62151,24630.13103,24000.97045,22886.27113,22573.16353,20097.71625,22345.6493,zinc finger protein 580 [Source:MGI Symbol;Acc:MGI:1916242],ENSMUSG00000055633,ENSG00000213015,ENSMUSP00000065861,Q9UK33,Q9UK33;K7ENY2;K7ERU0,ZN580_HUMAN,Q9DB38,Q9DB38;A0A140LJI2,ZN580_MOUSE
BCL7B,Bcl7b,21444.0689,60903.03357,55954.21118,0,46163.50392,39998.51277,33339.48393,31120.62162,32009.21451,85036.06997,81653.02858,86437.49182,118952.601,119718.8246,122324.5136,106123.3286,113578.1225,82109.81811,B cell CLL/lymphoma 7B [Source:MGI Symbol;Acc:MGI:1332238],ENSMUSG00000029681,ENSG00000106635,ENSMUSP00000031692,Q9BQE9,Q9BQE9;F2Z3H6,BCL7B_HUMAN,Q921K9,Q921K9;D3YYL1,BCL7B_MOUSE
PTRH1,Ptrh1,12413.85169,0,8169.04789,0,0,7777.067254,3100.150116,0,5230.381435,31507.7666,30341.91828,28615.08823,33669.64987,39641.08048,43090.37751,34574.39905,25397.2975,25237.22293,peptidyl-tRNA hydrolase 1 homolog [Source:MGI Symbol;Acc:MGI:1913779],ENSMUSG00000053746,ENSG00000187024,ENSMUSP00000068850,Q86Y79,Q86Y79;C9J7Z1;A0A096LPA3;A0A096LP22;A0A096LP34,PTH_HUMAN,Q8BW00,Q8BW00,PTH_MOUSE
CRK,Crk,0,0,0,0,48020.40799,42813.88431,22435.935,0,31176.1847,115349.0262,125161.391,116962.8101,117220.3809,121622.522,114214.9218,131143.9063,128767.6683,142564.6413,v-crk avian sarcoma virus CT10 oncogene homolog [Source:MGI Symbol;Acc:MGI:88508],ENSMUSG00000017776,ENSG00000167193,ENSMUSP00000017920,P46108,P46108;I3L297,CRK_HUMAN,F7D232,F7D232,F7D232_MOUSE
TMUB1,Tmub1,34563.47947,33990.44941,28724.33063,0,31599.50903,28277.98125,28784.7768,20167.11029,23024.42339,54112.0863,47041.63334,49592.57373,46380.81462,58327.12153,56377.7155,55919.58789,48539.36848,58309.20171,transmembrane and ubiquitin-like domain containing 1 [Source:MGI Symbol;Acc:MGI:1923764],ENSMUSG00000028958,ENSG00000164897,ENSMUSP00000030799,Q9BVT8,Q9BVT8;C9JE12;A0A590UJA9;C9JCW7,TMUB1_HUMAN,Q9JMG3,Q9JMG3;E9QN77;D3Z108,TMUB1_MOUSE
REEP3,Reep3,10092.80973,13144.08374,8931.725472,0,13961.43777,16625.10351,12186.29532,15261.49146,13438.12755,15741.52035,18074.02112,13128.85554,19173.65235,16061.38711,15470.78202,13056.76997,15902.47297,19957.98062,receptor accessory protein 3 [Source:MGI Symbol;Acc:MGI:88930],ENSMUSG00000019873,ENSG00000165476,ENSMUSP00000020023,Q6NUK4,Q6NUK4,REEP3_HUMAN,Q99KK1,Q99KK1;A0A1W2P8A8,REEP3_MOUSE
RNF170,Rnf170,8454.272966,0,12358.26365,0,0,12122.65785,0,4288.747942,0,20506.28343,14294.77844,15338.576,18377.53328,23709.78892,18487.50384,19400.46076,27619.66059,23029.57612,ring finger protein 170 [Source:MGI Symbol;Acc:MGI:1924983],ENSMUSG00000013878,ENSG00000120925,ENSMUSP00000014022,Q96K19,Q96K19;E9PNG8;E9PP55,RN170_HUMAN,Q8CBG9,Q8CBG9;E9PUJ5;D3Z0A0;F6UDR6;A0A1B0GR51;D3Z7W3,RN170_MOUSE
TMEM41B,Tmem41b,6699.609962,5067.448671,0,0,2174.932988,1718.067786,2758.399714,4498.034928,2234.951794,12638.23062,10533.22322,10554.153,16517.74396,13872.36503,14802.41605,17864.49025,19234.20574,12818.93174,transmembrane protein 41B [Source:MGI Symbol;Acc:MGI:1289225],ENSMUSG00000047554,ENSG00000166471,ENSMUSP00000091641,Q5BJD5,Q5BJD5;E9PJ42,TM41B_HUMAN,Q8K1A5,Q8K1A5;D6RDC1;D6RIR0;D6RFP3,TM41B_MOUSE
RCE1,Rce1,31310.33943,36675.4317,35250.87743,0,40030.35857,35858.94289,19420.65493,21378.141,0,13971.33676,0,14595.33543,17943.01631,0,16052.31087,15305.71619,17330.52732,13068.08964,Ras converting CAAX endopeptidase 1 [Source:MGI Symbol;Acc:MGI:1336895],ENSMUSG00000024889,ENSG00000173653,ENSMUSP00000153695,Q9Y256,Q9Y256;E9PKA7;E9PI08,FACE2_HUMAN,P57791,P57791;Q99KQ3;A0A494BAL8;A0A286YCQ7;A0A494B9U4;A0A286YCK9,FACE2_MOUSE
CCNY,Ccny,5460.931663,2819.669886,3342.724822,0,0,0,3137.720843,2389.628107,1987.970855,26240.68732,30787.99128,22278.62313,33717.61814,34388.50995,30839.45091,32242.41592,32610.59198,30608.33291,cyclin Y [Source:MGI Symbol;Acc:MGI:1915224],ENSMUSG00000024286,ENSG00000108100,ENSMUSP00000050001,Q8ND76,Q8ND76;R4GN48;R4GNF3,CCNY_HUMAN,Q8BGU5,Q8BGU5,CCNY_MOUSE
GJC1,Gjc1,0,7207.764909,4497.059125,0,7316.399239,4590.829685,5652.283841,5147.287873,7775.051443,7717.86724,8781.447458,6642.119842,11130.86512,11586.93038,11930.82852,10449.23603,12043.44375,10825.28675,"gap junction protein, gamma 1 [Source:MGI Symbol;Acc:MGI:95718]",ENSMUSG00000034520,ENSG00000182963,ENSMUSP00000066901,P36383,P36383;K7ERH3;Q5H9P2,CXG1_HUMAN,P28229,P28229,CXG1_MOUSE
TRIM11,Trim11,0,3680.98056,2896.746296,0,4874.113445,2892.750955,1387.509099,1053.17846,0,37899.04309,32119.29749,34619.6089,40033.38919,44069.13895,42019.24536,43333.66031,38559.13639,39838.33263,tripartite motif-containing 11 [Source:MGI Symbol;Acc:MGI:2137355],ENSMUSG00000020455,ENSG00000154370,ENSMUSP00000104437,Q96F44,Q96F44,TRI11_HUMAN,Q99PQ2,Q99PQ2;A2AB83,TRI11_MOUSE
SRSF4,Srsf4,0,0,0,0,0,0,3565.581155,3899.516466,3192.179857,46740.79449,51683.82296,43607.96616,57382.37178,54060.38931,54539.7758,57707.58654,54279.08027,59897.36579,serine and arginine-rich splicing factor 4 [Source:MGI Symbol;Acc:MGI:1890577],ENSMUSG00000028911,ENSG00000116350,ENSMUSP00000061474,Q08170,Q08170,SRSF4_HUMAN,Q542V3,Q542V3,Q542V3_MOUSE
SLC38A2,Slc38a2,15368.50249,0,0,0,0,3469.834862,0,0,0,8111.731893,8265.789899,9870.501278,14913.64443,12913.22179,11244.07238,15571.63426,15205.01786,14587.8494,"solute carrier family 38, member 2 [Source:MGI Symbol;Acc:MGI:1915010]",ENSMUSG00000022462,ENSG00000134294,ENSMUSP00000023099,Q96QD8,Q96QD8,S38A2_HUMAN,Q8CFE6,Q8CFE6,S38A2_MOUSE
ZKSCAN8,Zkscan8,2378.972564,1813.848783,1711.211761,0,1708.234728,2371.307231,1366.646212,1124.852755,1054.397873,12297.48243,10053.7119,10595.32784,12157.65403,15085.82457,12996.62474,11169.88785,10356.67854,12210.32485,zinc finger with KRAB and SCAN domains 8 [Source:MGI Symbol;Acc:MGI:1913815],ENSMUSG00000063894,ENSG00000198315,ENSMUSP00000040248,Q15776,Q15776,ZKSC8_HUMAN,A0A286YCX3;Q8BSL0,Q8BSL0;A0A286YCX3,A0A286YCX3_MOUSE;Q8BSL0_MOUSE
CHEK2,Chek2,20009.11802,0,0,0,0,24886.74915,0,8277.87211,9601.184535,36304.73276,41951.72608,38200.22741,42039.05137,43839.36309,43709.70543,41046.40054,39889.33939,42000.73284,checkpoint kinase 2 [Source:MGI Symbol;Acc:MGI:1355321],ENSMUSG00000029521,ENSG00000183765,ENSMUSP00000142475,O96017,O96017;H0Y820,CHK2_HUMAN,Q9Z265,Q9Z265,CHK2_MOUSE
MBD1,Mbd1,4078.876729,0,0,0,0,0,0,0,0,11039.23338,11185.25233,9767.161285,11942.53043,13042.87733,13490.51321,12502.78186,12575.53487,10436.38186,methyl-CpG binding domain protein 1 [Source:MGI Symbol;Acc:MGI:1333811],ENSMUSG00000024561,ENSG00000141644,,Q9UIS9,Q9UIS9;A0A0A0MS90,MBD1_HUMAN,Q9Z2E2,Q9Z2E2;A0A286YDI1;A0A0R4J159;A0A5F8MPN9,MBD1_MOUSE
