Gene stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSG00000198888	P03886	MT-ND1
ENSG00000198763	P03891	MT-ND2
ENSG00000198804	P00395	MT-CO1
ENSG00000198712	P00403	MT-CO2
ENSG00000228253	P03928	MT-ATP8
ENSG00000198899	P00846	MT-ATP6
ENSG00000198938	P00414	MT-CO3
ENSG00000198840	P03897	MT-ND3
ENSG00000212907	P03901	MT-ND4L
ENSG00000198886	P03905	MT-ND4
ENSG00000198786	P03915	MT-ND5
ENSG00000198695	P03923	MT-ND6
ENSG00000198727	P00156	MT-CYB
ENSG00000278704		
ENSG00000278633		
ENSG00000273748		
ENSG00000277400	Q8WZ33	
ENSG00000276256		
ENSG00000274847		MAFIP
ENSG00000277630		
ENSG00000271254		
ENSG00000277196		
ENSG00000278817		
ENSG00000276017		
ENSG00000268674	P0DMU3	
ENSG00000277475		
ENSG00000275063	P0DP08	
ENSG00000277856		
ENSG00000276345		
ENSG00000274175		
ENSG00000278384		
ENSG00000273554		
ENSG00000275869		
ENSG00000277836		
ENSG00000288499	Q8IXL6	FAM20C
ENSG00000288431		
ENSG00000288260		
ENSG00000288297	Q19T08	ECSCR
ENSG00000288274	A0A1B0GW64	SMIM33
ENSG00000288243	Q86WV6	STING1
ENSG00000288243		STING1
ENSG00000288319		
ENSG00000261958		OR9G1
ENSG00000262191		OR9G9
ENSG00000262647	Q8NGQ1	OR9G4
ENSG00000281107		OR5G3
ENSG00000169789	O14603	PRY
ENSG00000288263	Q15835	GRK1
ENSG00000114374	O00507	USP9Y
ENSG00000114374		USP9Y
ENSG00000169807	O14603	PRY2
ENSG00000198692	O14602	EIF1AY
ENSG00000198692		EIF1AY
ENSG00000183753		BPY2
ENSG00000183753	O14599	BPY2
ENSG00000291426		TOLLIP
ENSG00000291428		BRSK2
ENSG00000291431		DUSP8
ENSG00000291433		KRTAP5-1
ENSG00000291434		KRTAP5-2
ENSG00000291435		KRTAP5-3
ENSG00000291440		KRTAP5-4
ENSG00000291443		KRTAP5-5
ENSG00000291442		MOB2
ENSG00000236424	P0CW01	TSPY10
ENSG00000236424		TSPY10
ENSG00000258992	Q01534	TSPY1
ENSG00000244395		RBMY1D
ENSG00000244395	P0C7P1	RBMY1D
ENSG00000169953	Q96LI6	HSFY2
ENSG00000291455		TSPY8
ENSG00000291458		TSPY4
ENSG00000291459		TSPY9
ENSG00000012817	Q9BY66	KDM5D
ENSG00000012817		KDM5D
ENSG00000172468	Q96LI6	HSFY1
ENSG00000176679	Q8IUE0	TGIF2LY
ENSG00000169800	Q15415	RBMY1F
ENSG00000169800		RBMY1F
ENSG00000182415	Q9Y6F7	CDY2A
ENSG00000185894	O14599	BPY2C
ENSG00000185894		BPY2C
ENSG00000205916		DAZ4
ENSG00000205916	Q86SG3	DAZ4
ENSG00000129873	Q9Y6F7	CDY2B
ENSG00000184895	Q05066	SRY
ENSG00000284255	Q96R67	OR4C12
ENSG00000292249	A6NMZ5	OR4C45
ENSG00000129824	P22090	RPS4Y1
ENSG00000129824		RPS4Y1
ENSG00000067646	P08048	ZFY
ENSG00000067646		ZFY
ENSG00000067048	O15523	DDX3Y
ENSG00000067048		DDX3Y
ENSG00000285070	Q86V24	ADIPOR2
ENSG00000284953		CACNA2D4
ENSG00000284953	Q7Z3S7	CACNA2D4
ENSG00000285383	Q8N967	LRTM2
ENSG00000285383		LRTM2
ENSG00000284850	Q8IZD4	DCP1B
ENSG00000284850		DCP1B
ENSG00000183878		UTY
ENSG00000183878	O14607	UTY
ENSG00000285479		CACNA1C
ENSG00000285479	Q13936	CACNA1C
ENSG00000154620	O14604	TMSB4Y
ENSG00000129864	O14598	VCY
ENSG00000187191	Q9NR90	DAZ3
ENSG00000187191		DAZ3
ENSG00000188120	Q9NQZ3	DAZ1
ENSG00000188120		DAZ1
ENSG00000099721	Q99218	AMELY
ENSG00000092377	Q9BQ87	TBL1Y
ENSG00000092377		TBL1Y
ENSG00000205944	Q13117	DAZ2
ENSG00000205944		DAZ2
ENSG00000168757		TSPY2
ENSG00000168757	A6NKD2	TSPY2
ENSG00000242389		RBMY1E
ENSG00000242389	A6NEQ0	RBMY1E
ENSG00000165246		NLGN4Y
ENSG00000165246	Q8NFZ3	NLGN4Y
ENSG00000281230	Q9NUC0	SERTAD4
ENSG00000280680	Q5VTY9	HHAT
ENSG00000280680		HHAT
ENSG00000129862	O14598	VCY1B
ENSG00000280969	Q8TD47	RPS4Y2
ENSG00000099715	Q9BZA8	PCDH11Y
ENSG00000099715		PCDH11Y
ENSG00000172352	Q9Y6F8	CDY1B
ENSG00000183795		BPY2B
ENSG00000183795	O14599	BPY2B
ENSG00000172288	Q9Y6F8	CDY1
ENSG00000226941	Q15415	RBMY1J
ENSG00000238074	A0A494C1R9	TSPY9
ENSG00000242875	A6NDE4	RBMY1B
ENSG00000242875		RBMY1B
ENSG00000234414	P0DJD3	RBMY1A1
ENSG00000234414		RBMY1A1
ENSG00000284765	Q8ND23	CARMIL3
ENSG00000285221	O95741	CPNE6
ENSG00000285221		CPNE6
ENSG00000285493	P54845	NRL
ENSG00000285493		NRL
ENSG00000285241		PCK2
ENSG00000285241	Q16822	PCK2
ENSG00000284796		DCAF11
ENSG00000284796	Q8TEB1	DCAF11
ENSG00000284818		
ENSG00000285321	A5D6W6	FITM1
ENSG00000284916		PSME1
ENSG00000284916	Q06323	PSME1
ENSG00000285377		EMC9
ENSG00000285377	Q9Y3B6	EMC9
ENSG00000284889		PSME2
ENSG00000284889	Q9UL46	PSME2
ENSG00000233803		TSPY4
ENSG00000285152		RNF31
ENSG00000233803	P0CV99	TSPY4
ENSG00000285152	Q96EP0	RNF31
ENSG00000229549		TSPY8
ENSG00000229549	P0CW00	TSPY8
ENSG00000284845		
ENSG00000285048	Q00978	IRF9
ENSG00000285048		IRF9
ENSG00000228927	P0CV98	TSPY3
ENSG00000285007	O95072	REC8
ENSG00000285007		REC8
ENSG00000228927		TSPY3
ENSG00000285248	Q8TEX9	IPO4
ENSG00000285248		IPO4
ENSG00000285125		
ENSG00000285465		TM9SF1
ENSG00000285465	O15321	TM9SF1
ENSG00000292327		PPP2R3B
ENSG00000285502		
ENSG00000285140	Q6SA08	TSSK4
ENSG00000285140		TSSK4
ENSG00000292332		IL3RA
ENSG00000285302	Q9BY43	CHMP4A
ENSG00000285302		CHMP4A
ENSG00000292333		P2RY8
ENSG00000292334		SLC25A6
ENSG00000292336		ASMT
ENSG00000285200	Q86V88	MDP1
ENSG00000292338		DHRSX
ENSG00000285425		NEDD8-MDP1
ENSG00000285246		NEDD8
ENSG00000285246	Q15843	NEDD8
ENSG00000292339		ASMTL
ENSG00000284752		GMPR2
ENSG00000284752	Q9P2T1	GMPR2
ENSG00000292343		AKAP17A
ENSG00000292344		PLCXD1
ENSG00000292345		ZBED1
ENSG00000292348		CD99
